Date,Title,Outlet,Content
2024,DIDACTIC GAME ABOUT RENEWABLE AND SUSTAINABLE ENERGIES,"Proceedings of the International Conferences on Digital Transformation and Innovation Management 2024, DTIM 2024; and ICT, Society and Human Beings 2024, ICT 2024","renew sourc play crucial role address global energi challeng mitig environment impact associ convent energi sourc . respons grow need effect educ tool field , sustain energi center vocat excel ( secov ) issu challeng creat game would teach player sustain energi captur attent . project aim provid enhanc way subject taught student class environ also prepar teach peopl outsid environ subject . achiev goal , multi-phas approach develop , integr research , design , deploy . game similar theme , “ power ” “ siemen energi island ” , studi , along techniqu identifi enhanc game develop . result game design engag player provid relev inform renew energi , advantag , import . report strong teach compon engag gameplay experi , feedback player action fell short expect . nonetheless , game hold potenti develop incorpor report feedback expand exist teach content . summari , research aim introduc novel approach teach renew energi , leverag familiar technolog ( game ) captiv younger audienc . © 2024 digit transform innov manag . right reserv ."
2024,Evaluating the offshore wind business case and green hydrogen production: A case study of a future North Sea Offshore Grid,Electric Power Systems Research,"european union aim increas climat ambit achiev climat neutral 2050 . necessit expand offshor wind energi green hydrogen product , especi hard-to-ab industri sector . studi examin impact green hydrogen offshor wind project , specif focus potenti futur north sea offshor grid . studi util data tyndp 2020 global ambit scenario 2040 , consid sever european countri . aim assess new transmiss gener capac util understand influenc factor . find show incorpor green hydrogen product increas offshor wind util captur price . studi estim 2040 , level cost hydrogen could potenti decreas €1.2-1.6/kg h2 , assum low-cost electr suppli declin capit cost electrolys . result demonstr potenti benefit cost reduct integr green hydrogen product north sea offshor wind project . © 2024 author ( )"
2023,Harmonic suppression and fault ride-through method of diode-rectifier-based hybrid high-voltage direct current system for offshore wind farms integration,"IET Generation, Transmission and Distribution","diode-rectifi ( dr ) -base high-voltag direct current ( hvdc ) transmiss regard low-cost altern hvdc transmiss offshor wind farm ( owf ) integr . howev , dr would gener harmon voltag offshor grid , greatli affect power qualiti . solv problem , paper util parallel-connect small-capac auxiliari convert suppress harmon voltag provid black-start energi owf . addit , submodul branch ( smb ) auxiliari convert use part hvdc chopper . basi , coordin grid fault ride-through ( frt ) strategi propos paper . grid fault occur , hvdc chopper construct auxiliari convert abl constrain dc-link voltag . time , owf control reduc output activ power . result , cost frt significantli reduc . propos harmon voltag suppress frt method verifi simul model simulink . © 2023 author . iet gener , transmiss & distribut publish john wiley & son ltd behalf institut engin technolog ."
2023,Diode rectifier-based hybrid high-voltage direct current converter for offshore wind farms,IET Renewable Power Generation,"paper present diod rectifi ( dr ) -base hybrid convert topolog high-voltag direct current ( hvdc ) transmiss system offshor wind farm ( owf ) . hybrid convert consist dr auxiliari convert . high convers ratio ac/dc convert design auxiliari convert , form offshor grid voltag owf achiev black-start . steadi state , activ power output owf deliv dr . meanwhil , auxiliari convert abl compens reactiv power harmon current system . compar convent modular multilevel convert ( mmc ) , number submodul ( sm ) propos hybrid convert significantli reduc , decreas construct cost size system . topolog oper principl hybrid hvdc convert introduc . correspond control strategi design achiev energi balanc power transmiss . base mathemat model , design method paramet auxiliari convert propos . final , feasibl propos hybrid hvdc convert verifi simul hardware-in-the-loop experi result . © 2022 author . iet renew power gener publish john wiley & son ltd behalf institut engin technolog ."
2023,Model predictive control and protection of MMC-based MTDC power systems,International Journal of Electrical Power and Energy Systems,"mesh offshor grid ( mog ) present viabl option reliabl bulk power transmiss topolog . station-level control mog requir faster dynam along multipl object function , realiz model predict control ( mpc ) . paper provid control , protect design modular multilevel convert ( mmc ) base multi-termin dc ( mtdc ) power system use mpc . mpc defin use quadrat cost function , dqz rotat frame voltag input repres use laguerr orthonorm function . mpc appli control grid form grid follow convert four-termin mtdc setup , implement real-tim electromagnet transient ( emt ) simul . appli numer time-domain simul , advantag mpc deal ac dc side disturb investig . investig highlight mpc 's inher featur fast respons high damp during- post-disturb , compar tradit pi control perform . analysi provid comprehens insight transient behavior mtdc disturb . © 2022 author ( )"
2024,Techno-economic assessment of upgraded pyrolysis bio-oils for future marine fuels,Energy Conversion and Management,"power-to-x plant gener renew power convert hydrogen advanc fuel hard-to-ab sector like maritim industri . use bornholm energi island denmark studi case , studi investig off-grid product e-bio-fuel marin fuel . propos product pathway analysi method oil comparison e-methanol . product cost , optim oper system size deriv use open-sourc techno-econom linear program model . renew power sourc consid combin solar photovolta off-shor wind power . aec soec electrolyz technolog assess hydrogen product . bio-fuel produc slow pyrolysi straw pellet follow upgrad process : hydrodeoxygen combin decarboxyl . due novelti , techno-econom paramet upgrad pyrolyz oil deriv experiment . experiment result highlight upgrad reaction condit 350 °c 2h one step 1h 150 °c , 200 bar could effect provid fuel suffici qualiti meet maritim fuel specif . requir suppli 0.014 kg h2/ kgbiomass . model result show small scale plant constrain local avail co2 biomass produc 71.5 gwh fuel per year ( 13.3 kton methanol 7.9 kton bio-fuel ) , reach product cost 54.2 €2019/gjmethanol 19.3 €2019/gjbio−fuel . larg scale facil , ten time larger , product cost reduc 44.7 €2019/gjmethanol 18.9 €2019/gjbio−fuel ( scale effect methanol pathway ) . result show , sustain biomass avail suffici quantiti , upgrad pyrolysi oil cheapest option less carbon intens ( especi thank biochar co-product ) . pyrolysi unit repres main cost co-product revenu district heat sale biochar co2 credit could decreas cost factor three . © 2024 author ( )"
2023,Small Signal Stability Analysis of MMC-HVDC Grid-connected System and Optimization Control of Zero-sequence Circulating Current Controller,"2023 IEEE International Conference on Power Science and Technology, ICPST 2023","high voltag direct current ( hvdc ) transmiss technolog base modular multilevel convert ( mmc ) wide use offshor grid-connect wind power gener project , small signal stabil problem grid-connect system attract great attent . paper focus influenc zero-sequ circul current ( zscc ) control stabil offshor wind power gener mmc-hvdc grid-connect system . closed-loop frequenc domain model deriv mean complex vector harmon state space firstli . paper develop single-input-single-output ( siso ) imped model mmc consid zscc control . addit , imped model offshor wind farm distribut network establish . base imped model , influenc law mechan zscc control stabil offshor wind power gener mmc-hvdc grid-connect system explor . analysi result show output power wind larg , system prone oscil . applic zscc control equival increas bridg arm resist enhanc system damp , effect suppress reson peak mmc imped island control mode . final , point view enhanc damp system , paramet optim scheme zscc control design , correct theori feasibl scheme verifi simul . © 2023 ieee ."
2024,"A framework to identify offshore spatial trade-offs in different space allocation options for Offshore Wind Farms, as part of the North Sea Offshore Grid",Energy Reports,"effici , well-balanc north sea offshor grid ( nsog ) requir area-bas approach large-scal owf deploy . howev , essenti coordin environment , spatial energi plan basin scale lack . studi offer systemat approach unidirect coupl spatial explicit offshor develop scenario potenti ( km2 ) , integr energi system model , iesa-n . nsog concept , calcul spatial potenti 8 predefin energi hub ( cluster ) . combin potenti spatial avail , deploy energi system cost ( iesa-n ) risk manag option ( owfs/fisheries/marin protect areas-mpa ) , unfold trade-off emerg plan futur nsog . henc , lower-cost nsog , reach north sea 2050 energi target , depend integr , collabor space manag , fast deploy fixed-bottom owf 2030 ( 3.5 time current capac ) multi-us static gear fisheri ( cluster 3 ) mpa ( cluster 7 ) . altern , higher-cost nsog lower impact mpa fisheri , highli depend float owf ( 32.6gw 2030 ) , 2 british nsog cluster . case , float owf essenti , effect use cluster space requir basin-scal collabor ( cluster 7-dogger bank ) , untap potenti cluster 8 ( float owf ) lower pressur nsog cluster . © 2024 author"
2023,"ENERGY TRANSITION IN SHETLAND ISLANDS TOWARDS NET ZERO: DEVELOPMENT, CHALLENGES AND OPPORTUNITIES",IET Conference Proceedings,"radic chang expect energi system global . shetland island special area uk term energi system circumst . current , shetland power system primarili characteris isol gb power system relianc fossil fuel , introduc challeng relat power system manag emiss stress within island . utilis rich wind resourc shetland region , large-scal wind farm develop , high voltag direct current ( hvdc ) system onshor transmiss network instal ; wherea massiv local baseload ( mainli includ oil ga asset electrif massiv hydrogen product ) expect deploy shetland . paper review current system structur circumst shetland power system , present vision expect futur integr energi system , key technic barrier enabl identifi regard system develop oper . besid , major challeng opportun differ system parti outlin , essenti consider system develop and/or oper . © 2023 iet confer proceed . right reserv ."
2023,Virtual Inertial Control Strategy of Islanding DC Microgrid Storage Converter Based on Rate of Change of Voltage,"2023 IEEE PELS Students and Young Professionals Symposium, SYPS 2023","new energi island dc microgrid system characterist high power electron , low inertia weak damp . bu voltag suscept power fluctuat . virtual dc motor ( vdcm ) method effect improv system inertia ensur stabil bu voltag . aim problem long voltag regul time vdcm , virtual inertia control strategi ( vi-rocov ) base rate chang voltag ( rocov ) propos , reduc adjust time dc bu voltag optim transient characterist provid inerti support within stabil margin . virtual inertia control method propos paper realiz virtual inertia control system improv voltag feedback loop , wide applic prospect voltage-control convert differ topolog . © 2023 ieee ."
2023,Well-to-Wheels for Light-Duty Vehicle Powertrains by Segments in Isolated Systems †,Energies,"transport sector highest energi demand worldwid bear primari respons co2 emiss . electromobl emerg feasibl way allevi problem . howev , potenti depend heavili develop renew energi . island region rais addit barrier electromobl due heavi depend fossil fuel . articl address challeng present comprehens well-to-wheel framework assess level effici co2 emiss electromobl option batteri plug-in electr vehicl ( bev phev ) . result compar intern combust engin vehicl ( icev ) . framework propos take account variou factor includ extract , refin , transport oil , differ segment land vehicl , electr system oper . framework demonstr case studi spanish canari archipelago . result show bev improv effici co2 emiss around 30 % compar icev island share renew energi higher 21 % . contrast , limit renew gener may lead bev pollut 15 % icev . phev consid suitabl altern share renew gener higher 35 % . © 2023 author ."
2024,RESEARCH ON STRATEGIC AND TECHNICAL OF HYDROGEN PRODUCTION BY DEEP OFFSHORE IN SITU ELECTROLYSIS OF SEAWATER; [深远海原位电解海水制氢的战略及技术研究],Taiyangneng Xuebao/Acta Energiae Solaris Sinica,context achiev `` dual-carbon '' strategi china，hydrogen energi play bridg support role futur energi transit . promis green energi technology，renew energi electrolysi water produc hydrogen attract widespread attent . china abund offshor wind energi resources；however，ther current challeng grid connection，transmission，and high cost . consid high invest product cost seawat desalin purification，a well complex treatment process involved，th direct electrolysi seawat hydrogen product offer potenti overcom limit large-scal hydrogen product water sourc . also address challeng transmit renew energi deep-sea locat high on-sit hydrogen product costs，result signific econom social benefit . articl review develop seawat electrolysi technology，compar sever exist electrolysi method hydrogen production，discuss current challeng opportunities，and provid outlook futur seawat electrolysi hydrogen product industri . take offshor oil ga compani example，it explor possibl energi enterpris promot integr offshor wind power seawat electrolysi technolog industri scale . also suggest measur reduc costs，avoid homogen competition，and develop distinct technologies，includ improv layout offshor wind power facilities，develop seawat electrolysi technology，enhanc hydrogen transport storag capabilities，and achiev coordin develop offshor green energi island . © 2024 scienc press . right reserv .
2023,User Evaluation of Innovative Megaprojects Induced by Environmental Change Using Primary Data,"Eurasia Proceedings of Science, Technology, Engineering and Mathematics","modern age associ rise live standard achiev cost enorm environment damag . environment degrad today , environment devast previou year , global warm present world new novel challeng experienc previou decad . rise sea level , increas energi demand explos energi price creat new focal point think sphere econom life . environment factor requir new fresh approach futur sustain . new solut energi suppli need solut sea-level rise must sought . articl , undertak examin detail maldiv float citi european energi island project user 's perspect , specif term progress exemplari valu . paper , examin two flagship project result primari research conduct 2022 2023 , formul main messag design futur project . © 2023 publish isr publish : www.isres.org ."
2023,Research on indoor dynamic temperature based on circulating water heating,Energy Reports,"heat season , citi northeast china primarili emphas implement large-scal chp central heat system . howev , heat-electr constraint associ heat unit hinder integr clean energi sourc wind power , photovolta , renew energi . despit effort reduc carbon emiss address concern relat urban haze format , energi conserv , emiss reduct , coal remain predomin energi sourc heat . light challeng , paper aim investig heat transfer characterist build heat season . also examin feasibl implement heat regul provid theoret foundat establish region heat model incorpor low-carbon energi island . propos model combin wind power , photovolta power gener , renew energi sourc supplement coal power . employ concentr heat capac method , studi develop mathemat model simul dynam thermal process involv heat build . model encompass variou compon , includ dynam heat transfer model build 's envelop structur , consid heat storag characterist , well radiat model indoor air heat balanc equat . furthermor , model comprehens account influenc differ indoor outdoor disturb heat transfer process , includ effect solar radiat . valid model , simul program implement use matlab . program capabl hourli calcul determin indoor temperatur . compar simul temperatur valu measur one , ration accuraci model verifi . © 2023 author ( )"
2024,"BRIDGING TOURISM AND ENERGY INDUSTRY DEVELOPMENT IN COASTAL-MARINE PERIPHERIES: THE CASE OF BORNHOLM, DENMARK",Tourism in Marine Environments,"research note explor bridg local tourism content implement larg green energi infrastructur coastal-marin peripheri . topic import one , least given speed industri evolv chang , also mean new challeng opportun aris requir urgent attent . continu knowledg creation share industri among affect peripher commun frame bridg two industri therefor need . particularli case bornholm , danish island baltic sea strong tourism tradit profil challeng new develop turn island one first community-bas “ energi island ” world . base short literatur overview support opinion local tourism energi repres , research note base around knowledg need use situat bornholm confirm exist knowledg topic , also use occas introduc new knowledg aspect yet receiv attent literatur . research note end reflect propos knowledg need , includ attent area futur research . print usa . right reserv . copyright © 2024 cogniz , llc ."
2023,Analyzing the impact of demand response and reserves in islands energy planning,Energy,"small island usual reli fossil fuel energi suppli face common challeng high energi cost carbon dioxid emiss . reason repres interest case analys transit toward clean secur energi system . nevertheless , integr non-dispatch renew energi sourc power grid caus stabil issu particularli true island grid . issu fulli consid long-term energi plan ; inde , import factor consid order ensur reliabl grid reserv . differ type reserv depend reactiveness/respons time durat servic . paper , primari secondari reserv analys order plan long-term energi transit small island favignana , itali mean new version h2re , linear program single-object optimis model abl provid long-term capac invest dispatch optimis . found biomass gener favour photovolta wind turbin abil provid reserv also decreas unpredict suppli . batteri electrolys also use mostli reserv provis . © 2023 elsevi ltd"
2023,How to connect energy islands: Trade-offs between hydrogen and electricity infrastructure,Applied Energy,"light offshor wind expans north baltic sea europ , idea use offshor space renewable-bas energi gener evolv . one concept energi island , entail placement energi convers storag equip near offshor wind farm . offshor placement electrolys caus interdepend avail electr hydrogen product power transmiss shore . paper investig trade-off integr energi island via electr versu hydrogen infrastructur . set combin capac expans electr dispatch model assess role electrolys electr cabl given avail renew energi island . find electr system benefit connect close-to-shor wind farm via power cabl . turn , electrolysi valuabl far-away energi island avoid expens long-dist cabl infrastructur . also find capac invest electrolys sensit hydrogen price less carbon price . onshor network congest caus increas activ close shore influenc size site electrolys . © 2023 author ( )"
2023,Simulating wake losses of the Danish Energy Island wind farm cluster,Journal of Physics: Conference Series,"increas number instal offshor wind farm led cluster , wind farm interact caus energi loss . danish govern plan energi island north sea consist ten 1 gw wind farm . initi wind farm layout design consult compani ( cowi ) report 5 % annual energi product ( aep ) wake loss base low-fidel engin wake model known underestim wind farm interact . present work employ higher-fidel wake model base reynolds-averag navier-stok ( ran ) mesoscal model , predict higher aep loss due wind farm interact ; name , 8.6-10.1 % . addit , investig microscal model ran employ simul larg wind farm cluster effici , compar result mesoscal model simul . © publish licenc iop publish ltd ."
2024,Lithuanian Energy Security Transition: The Evolution of Public Concern and Its Socio-Economic Implications,Energies,"articl analys evolut social dimens energi secur transit lithuania . contribut emerg attempt literatur broaden horizon understand societ transform energi transit . analysi reveal interdepend chang lithuanian societi develop energi secur concern throughout independ period , import materi threat ( ecolog , econom , polit ) post-materi valu ( climat chang concern ) context energi secur . accordingli , energi sector undergo vivid transit total depend “ energi island ” diversifi , interconnect , self-sustain system . journey inevit result highlight social dimens energi secur provok certain socio-econom implic , like chang public awar particip , social equiti justic , socio-econom resili vulner . research base case studi principl ( appli sociolog discours analysi scientif articl ’ qualit content analysi method well energi secur polici analysi review nation strategi throughout independ period ) focus uniqu lithuanian context . © 2024 author ."
2024,Modeling and optimal operation of reversible solid oxide cells considering heat recovery and mode switching dynamics in microgrids,Applied Energy,"revers solid oxid cell ( rsoc ) promis technolog advanc energi decarbon enabl bidirect convers electr hydrogen singl devic . howev , previou studi fulli explor oper flexibl rsoc due inadequ consider heat recoveri potenti dynam oper mode transit . address research gap , paper present model-bas optim oper method manag multi-energi transact rsoc-bas microgrid , aim minim oper cost . method incorpor detail oper model rsoc , includ lump thermal model account heat recoveri capabl model variou oper mode transit . addit , linear process introduc address nonlinear implicit oper constraint , result comput effici mixed-integ linear program ( milp ) formul oper model . compar case studi conduct use modifi energi portfolio danish energi island . result demonstr propos method effect captur oper mode transit within rsoc enhanc profit via wast heat recoveri . notabl , rsoc model contribut enhanc oper flexibl heat recoveri behavior wider temperatur rang , result substanti econom save microgrid . © 2023"
2024,AC Fault Ride-Through Method of HVDC Interconnector for Islanded AC Grid With Offshore Wind Farm and Loads,IEEE Access,"paper propos ac fault ride-through ( frt ) method high-voltag dc ( hvdc ) transmiss system serv interconnector onshor ac grid island offshor ac grid . convent hvdc system offshor wind farm frt realiz consum excess power brake resistor . howev , method appli offshor ac grid includ wind farm also variou load , consid integr multipurpos interconnector energi island . articl , novel frt method base voltag control hvdc interconnector oper bidirect power flow propos . propos method curtail ac voltag form offshor convert accord convert 's dc current voltag . effect propos frt method establish experi mini model . © 2013 ieee ."
2023,"Granite thermal reservoirs in Lingshui area of Hainan Island and their significance to geothermal resources, China",Energy Geoscience,"hainan island locat southernmost tip continent crust south china plate , high terrestri heat-flow valu , widely-distribut hot spring , rich geotherm resourc . intensifi research origin potenti geotherm resourc promot hainan island 's develop clean energi island . determin geolog condit format geotherm resourc southern hainan island , collect core sampl granit baocheng batholith southern hainan island conduct systemat analysi respect petrolog , geochronolog , geochemistri , petrophys properti . result studi follow . baocheng batholith southern hainan island crystal age 98.42 ± 0.56 , make product magmat earli stage late cretac . mainli consist high-k calc-alkalin granit , intrud intermediate-to-maf vein . baocheng batholith high radioact heat gener rate 2.712–6.843 μw/m3 , averag 3.846 μw/m3 , radioact heat-flow valu 30.768 mw/m2 heat-flow contribut rate 38.95 % –43.95 % . shown result thermophys properti analysi , granit high thermal conduct serv high-qual geotherm reservoir . combin previou geolog geophys data , geotherm model lingshui area establish studi . deep structur indic presenc high-conduct low-resist layer basement baocheng batholith . infer therebi asthenospher upwel may occur exist two magma vent depth batholith . therefor , magmat heat depth granit high radioact heat gener rate serv main heat sourc lingshui area . © 2023 sinopec petroleum explor product research institut"
2024,Maritime law enforcement concerning offshore energy platforms: Navigating international law constraints and challenges,Marine Policy,"offshor energi platform ( oep ) serv crucial frontier util renew energi sourc meet energi demand , power essenti maritim oper remot island power suppli , offshor oil ga explor , seawat desalin , marin renew energi harvest . howev , develop oep rais signific legal concern maritim law enforc . employ polici analysi approach , research delv multifacet challeng face current intern legal framework regul enforc activ pertain oep . challeng encompass ambigu oep legal statu , difficulti balanc safeti measur divers maritim interest , obstacl environment assess enforc , heighten enforc challeng area beyond nation jurisdict . studi explor potenti strategi resolut collabor intern scale . investig , studi aim provid valuabl insight promot greater clariti coher maritim law enforc practic concern oep , therebi enhanc safeti , secur , environment sustain oep oper maritim environ global . © 2024 elsevi ltd"
2023,Grid-forming control for the linear-generator-based wave energy converter for the electrification of remote islands,IET Conference Proceedings,"develop wave energi technolog advanc significantli , grid connect power optim stage area research . variou grid connect scheme thoroughli research implement , grid-follow control emerg primari techniqu power transfer grid . energi storag solut batteri supercapacitor incorpor mitig intermitt effect wave energi . howev , increas renew energi grid lead low-inertia power grid , wave energi must equip grid-readi capabl achiev commerci success . studi propos wave-to-wir model wave energi convert array grid-form applic , enabl suppli power remot island . result research propos control mechan requir success integr wave energi form grid transmit continu power suppli . © institut engin & technolog 2023 ."
2023,"Decarbonizing energy islands with flexibility-enabling planning: The case of Santiago, Cape Verde: Decarbonizing Energy Islands with Flexibility-Enabling Planning",Renewable and Sustainable Energy Reviews,"grow interest fulli decarbon worldwid energi system requir abandon tradit gener expans plan favour flexibility-en energi system plan tool allow integr energi storag sector coupl . therefor , paper propos mixed-integ linear program formul focus enabl flexibl provis integr energi system target independ size power energi capac simultan gener storag expans plan . optim problem minim invest , mainten , oper emiss cost 20 year horizon hourli resolut . context , island repres suitabl studi case energi transit due except renew avail , fast-pac develop ; despit region extrem extern depend isol . particular , island santiago , cape verd select studi case given exist target regard reach 50 100 % renew share 2030 2040 , data avail , extrem season variat wind solar resourc . four scenario consid . first second dismiss flexibl : busi usual ( bau ) , anoth one align govern goal ( green ) . , two exploit : one equival green , flexg , last one find optim . addit , three energi demand growth level consid order reduc uncertainti , correspond 1 , 3 5 % . last , sensit analysi three addit scenario perform provid thorough view cape verd 's energi futur . result highlight import flexibl exploit provid 85 % save allow decarbon sector via electrif . © 2023 author ( )"
