Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Ioannou A.; Brennan F.,"Ioannou, Anastasia (56013398100); Brennan, Feargal (7102156948)",56013398100; 7102156948,A preliminary techno-economic comparison between a grid-connected and non-grid connected offshore floating wind farm,2019,"2019 Offshore Energy and Storage Summit, OSES 2019",,,8867350,,,,9,10.1109/OSES.2019.8867350,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074295150&doi=10.1109%2fOSES.2019.8867350&partnerID=40&md5=4af4a0453e89c67b855775b69c7b7b29,"Non-grid connected (NGC) floating offshore wind (OW) turbines can signify a solution for harvesting wind energy far offshore, addressing some key issues including the deep waters and lack of grid connection, while also exploiting the higher capacity factors. Towards this direction, on-board energy storage in the form of hydrogen production is one of the most promising solutions, often cited in literature. This study aims to perform a preliminary techno-economic analysis to assess the trade-offs, in terms of cost, between a far offshore grid-connected (GC) floating wind farm and a NGC wind farm integrated with an electrolyser for the production of hydrogen. To this end, a lifecycle techno-economic model coupled with an OM model developed for offshore wind installations are employed. The model is applied to a hypothetical wind farm located 200km from the shore. For the GC system, OM costs along with the costs of acquisition of the electric system (offshore cable and offshore substation) appeared to be the main contributors to the Levelised Cost of Electricity (LCOE). As far as the NGC system is concerned, it was concluded that a higher annual capacity factor (>60%) could potentially achieve viability of the investment. © 2019 IEEE.",Hydrogen storage system; Non-grid connected offshore wind farm; Techno-economic analysis,Cost benefit analysis; Economic analysis; Economic and social effects; Electric energy storage; Electric power system interconnection; Electric power transmission networks; Electric substations; Electric utilities; Hydrogen production; Hydrogen storage; Investments; Life cycle; Offshore oil well production; Hydrogen storage system; Non-grid-connected; Offshore wind installations; On-board energy storage; Production of hydrogen; Techno-Economic analysis; Techno-economic comparisons; Techno-economic model; Offshore wind farms,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85074295150
Kabsha M.M.; Rather Z.H.,"Kabsha, M.M. (55512046700); Rather, Zakir Hussain (55578082100)",55512046700; 55578082100,A New Control Scheme for Fast Frequency Support from HVDC Connected Offshore Wind Farm in Low-Inertia System,2020,IEEE Transactions on Sustainable Energy,11,3,8844846,1829,1837,8.0,61,10.1109/TSTE.2019.2942541,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087443068&doi=10.1109%2fTSTE.2019.2942541&partnerID=40&md5=778b4c256fde80ebd5d1260727db4046,"Large-scale renewable energy integration and consequent displacement of synchronous machines result in low system inertia. Low system inertia leads to high rate of change of frequency, higher frequency nadir, and potentially require higher primary frequency reserve to stabilise system frequency following a sudden generation shortfall. To address such frequency stability issue in wind energy integrated system, this paper has proposed a new and realistic control strategy for inertial and primary frequency support from HVDC connected Offshore Wind Farms (OWF). The proposed control strategy, which is based on offshore AC voltage control is not only addressing limitations of high rate of frequency change in the offshore grid, but also does not result in any frequency deviation in the offshore grid while providing frequency support to the main grid. The proposed control strategy is robust for any frequency deviation in the main grid, which utilises HVDC converters to map onshore frequency variation in to voltage variation in the offshore grid, thus enabling adequate inertial and primary frequency support from the OWF. The proposed control strategy has been tested on two test systems and the results are compared with conventional method to demonstrate the robustness, effectiveness and reliability of the proposed frequency support strategy.  © 2010-2012 IEEE.",frequency support control (FSC); grid codes; OWF; VSC-HVDC,Electric utilities; HVDC power transmission; Offshore oil well production; AC voltage controls; Control strategies; Conventional methods; Frequency deviation; Frequency variation; Primary frequencies; Renewable energy integrations; Synchronous machine; Offshore wind farms,Article,Final,,Scopus,2-s2.0-85087443068
Ayala P.L.; Torres J.L.R.; Koreman C.G.A.; Van Der Meijden M.A.M.M.,"Ayala, P. Lozada (57211033879); Torres, J. L. Rueda (57211244067); Koreman, C.G.A. (6602269479); Van Der Meijden, M.A.M.M. (6603335633)",57211033879; 57211244067; 6602269479; 6603335633,Modeling and Analysis of a Novel Grid Connection Topology for Offshore Wind Farms using MMC-HVDC Transmission,2019,IEEE Power and Energy Society General Meeting,2019-August,,8973767,,,,2,10.1109/PESGM40551.2019.8973767,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079045369&doi=10.1109%2fPESGM40551.2019.8973767&partnerID=40&md5=2e7268a977fda92b56ac41aeeb762061,"To meet the goals of the Paris Agreement, the Netherlands is integrating large amounts of offshore wind energy into the power system and has ambitious plans for the coming years. A grid topology with transmission capacity above 1 GW connecting offshore wind farms (OWFs) at distances close to 100 km in a standardized, modular, and cost-efficient manner is the focus of this paper. An electromagnetic transient (EMT) model was built in PSCAD in which OWFs are connected with 66-kV cables to a centralized offshore platform and a transmission link with a capacity of 1050 MW. The 66-kV cables will be coupled to three converter transformers connected to each other on the valve side and not on the 66-kV side. The link to the onshore transmission network uses VSC-HVDC technology with MMC topology. A dynamic performance analysis was done to obtain a complete overview and understanding of the overall behavior. © 2019 IEEE.",66-kV offshore grid; EMT model; MMC-HVDC transmission; offshore wind energy,Cables; Electric power system interconnection; Electric power system planning; Electric power transmission networks; Electric utilities; HVDC power transmission; Offshore oil well production; Offshore power plants; Topology; 66-kV offshore grid; Converter transformers; Dynamic performance analysis; Electromagnetic transients; HVDC transmission; Off shore platforms; Off-shore wind energy; Transmission capacities; Offshore wind farms,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85079045369
Lavopa E.; El-Sanharawi O.; Monteiro J.; Mukhedkar R.,"Lavopa, E. (24766313800); El-Sanharawi, O. (57208128339); Monteiro, J. (56533273600); Mukhedkar, R. (6508213698)",24766313800; 57208128339; 56533273600; 6508213698,Mathematical harmonic model of VSC HVDC for offshore applications,2019,IET Conference Publications,2019,CP751,,,,,1,10.1049/cp.2019.0058,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063909434&doi=10.1049%2fcp.2019.0058&partnerID=40&md5=f3bd33ef10782468f58c9ebb0486b269,"HVDC transmission with Modular Multilevel Converter (MMC) technology is frequently used for connection to weak offshore grids. In such systems, adverse harmonic resonances and instabilities can occur due to the interaction between the different power electronic converters and the grid. Models of the HVDC converters describing their harmonic behaviour are needed by HVDC manufacturers at design stage and they are required by Transmission System Operators to allow prediction of such interactions and their impact on the grid. This paper describes one such model. It aims to be a comprehensive tool to analyse and predict harmonic interactions combining the control system, normally represented in dq frame, and the power system, normally analysed in the positive-negative sequence frame. This methodology can be applied to any device connected to the power system to capture key aspects of harmonic interaction including cross-coupling between harmonic frequencies. Moreover, such a tool will enable design of robust control systems. The process described in this paper is applied to a typical MMC-HVDC converter connected to an offshore grid. The mathematical model is validated through PSCAD simulation, and a practical case study is shown. © 2019 Institution of Engineering and Technology.All rights reserved.",Harmonic modelling; MMC-HVDC; Renewables,Harmonic analysis; Offshore oil well production; Offshore technology; Power converters; Robust control; Harmonic frequency; Harmonic interactions; MMC-HVDC; Modular multi-level converters; Offshore applications; Power electronic converters; Renewables; Transmission system operators; HVDC power transmission,Conference paper,Final,,Scopus,2-s2.0-85063909434
Al Ammari S.; Kotrappa M.N.; Manna M.; El Makarem M.A.,"Al Ammari, Sara (57205424514); Kotrappa, Murugendrappa N. (37041473400); Manna, Malay (57205428371); El Makarem, Mohamed Abou (57205424923)",57205424514; 37041473400; 57205428371; 57205424923,Application of point on wave controlled switching on high voltage systems for weak offshore grids,2019,"Society of Petroleum Engineers - Abu Dhabi International Petroleum Exhibition and Conference 2018, ADIPEC 2018",,,,,,,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059980760&partnerID=40&md5=f7beb3049229f29ef34deb9b6e27b686,"At offshore oil and gas islands, on site generators running independently are often utilized. These on site generators have their benefits but also pose their own drawbacks and may have their own problems. Due to the instability of those weak offshore grids, the grid disturbances may cause power outages, voltage fluctuations, changes in frequency, blackouts …etc. which are easily felt by the consumers and can also impact the performance and the service life of the electrical equipment. A study has been performed to examine different methods to improve the reliability of the overall network. Circuit breakers are designed to react by opening or closing the circuit as soon as a command is received. While doing so, the circuit breakers go through tremendous high stresses which ultimately may cause it to produce an arc. This phenomenon can be mitigated and reduced using controlled switching. This technology involves pre-defined control strategy for opening and closing each circuit breaker pole independently. Controlled switching methodologies are used to minimize the stress on circuit breakers, prevent failure of electrical equipment and improve power quality without affecting the overall grid. This new cost effective technology helps in reducing disturbances while improving electrical reliability to the end consumer. High Voltage Shunt Reactors, Subsea Cables and Transformer Energization and De-energization cause high inrush current on the system. Power system study software has been utilized to identify which loads will provide the optimum benefit when implementing the Controlled Switching application. This paper addresses the benefits of using controlled switching on high voltage circuit breakers on weak offshore grids. This paper also studies the applications and advantages of controlled switching of 132kV long subsea cable and transformer feeders wherein high inrush current is expected while showing the outcomes of research results and actual scenarios that have been implemented. © Copyright 2018, Society of Petroleum Engineers.",,Application programs; Cables; Cost effectiveness; Electric circuit breakers; Electric power system control; Electric power transmission networks; Gasoline; Offshore oil well production; Quality control; Switching; Circuit breaker pole; Cost-effective technology; Electrical equipment; Electrical reliability; High voltage circuit breaker; High voltage systems; Power system studies; Transformer energization; Outages,Conference paper,Final,,Scopus,2-s2.0-85059980760
Koivisto M.; Gea-Bermúdez J.; Sørensen P.,"Koivisto, Matti (15070745200); Gea-Bermúdez, Juan (57212882487); Sørensen, Poul (7202485501)",15070745200; 57212882487; 7202485501,North Sea offshore grid development: Combined optimisation of grid and generation investments towards 2050,2020,IET Renewable Power Generation,14,8,,1259,1267,8.0,22,10.1049/iet-rpg.2019.0693,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081369236&doi=10.1049%2fiet-rpg.2019.0693&partnerID=40&md5=071096c38448a650c3be211977b9ef78,"The North Sea region offers large amounts of investable offshore wind generation and several interconnection lines are located in the area, with more planned. Optimal transmission and generation investments are modelled in the region towards 2050. A project-based scenario, where each offshore wind power plant is connected individually, is first analysed. Then, an integrated offshore grid is modelled to investigate the viability of connecting future transmission and offshore wind generation investments. These two scenarios are then compared. It is shown that going towards an integrated solution can increase offshore wind investments by several GWs, with Germany seeing the biggest difference between the two scenarios. It is shown that the integrated solution leads to overall cost minimisation and shows somewhat higher variable renewable energy generation by 2050 compared to the project-based scenario. © The Institution of Engineering and Technology 2019",,Offshore oil well production; Transmissions; Wind power; Generation investment; Integrated solutions; Interconnection lines; Offshore wind generations; Offshore wind power plants; Offshore winds; Optimal transmission; Variable renewable energies; Investments,Conference paper,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85081369236
Jørgensen P.-A.; Simensen J.E.; Esnoul C.; Gao X.; Olsen S.A.; Gran B.A.,"Jørgensen, Per-Arne (57218441452); Simensen, John Eidar (25646863300); Esnoul, Coralie (57191443813); Gao, Xueli (57224225813); Olsen, Silje Arendt (57224212796); Gran, Bjørn Axel (7004074503)",57218441452; 25646863300; 57191443813; 57224225813; 57224212796; 7004074503,Addressing cybersecurity in energy islands,2020,Proceedings of the 30th European Safety and Reliability Conference and the 15th Probabilistic Safety Assessment and Management Conference,,,,2036,2043,7.0,2,10.3850/978-981-14-8593-0_5428-cd,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107263411&doi=10.3850%2f978-981-14-8593-0_5428-cd&partnerID=40&md5=6e04215c69f05a66085b5ff7a99a0784,"Addressing cybersecurity threats in energy island is about balancing technical infrastructure and assets risks with business needs and protecting data from unwanted or unintentional information disclosure. Every organization that implementing smart grid functionality address cybersecurity issues that are diverse and complex for the organization. Especially when relying on existing legacy systems and infrastructure when interoperate with new assets connected to the smart grid. This potentially introduces new operational risks for the operator. This paper summarizes identified cybersecurity risks relevant for energy island as identified during the development phase of the E-LAND toolbox. Some of these risks include the local energy systems operator’s exposure of existing legacy operational systems infrastructure, security and privacy concerns in multi-cloud environments, asset hardening and integration requirements, establishing a common baseline for network security and best practices, and data ownership and management to name some. The risks are discussed in more detail and exemplified through general use case examples before suggested mitigations for the risks are provided. © ESREL 2020-PSAM15 Organizers. Published by Research Publishing, Singapore.",Cybersecurity; Data protection; E-LAND; Energy island; Privacy; Risks; System integrity,Electric power transmission networks; Landforms; Legacy systems; Network security; Privacy by design; Safety engineering; Smart power grids; Development phase; Information disclosure; Integration requirements; Local energy systems; Operational risks; Operational systems; Security and privacy; Technical infrastructure; Information management,Conference paper,Final,,Scopus,2-s2.0-85107263411
Schonleber K.; Prieto-Araujo E.; Rates-Palau S.; Gomis-Bellmunt O.,"Schonleber, Kevin (57188990452); Prieto-Araujo, Eduardo (38362136100); Rates-Palau, Sergi (57192085582); Gomis-Bellmunt, Oriol (15836509300)",57188990452; 38362136100; 57192085582; 15836509300,Extended Current Limitation for Unbalanced Faults in MMC-HVDC-Connected Wind Power Plants,2018,IEEE Transactions on Power Delivery,33,4,,1875,1884,9.0,42,10.1109/TPWRD.2017.2786087,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039791786&doi=10.1109%2fTPWRD.2017.2786087&partnerID=40&md5=47dfef156e2090919e049f5d434c297e,"Modular multilevel converters (MMCs) are currently used in a number of high-voltage dc (HVdc) projects connecting very remote offshore wind power plants to shore. For this application, the offshore HVdc voltage-source converter provides the reference for voltage and frequency, that is, grid-forming operating mode. In fault ride through situations, however, the converter reactive current increases and has to be limited to protect the equipment. At the same time, the injection of maximum currents into the offshore grid is advantageous for fault detection and isolation by circuit breakers and to maintain the voltage level. State-of-the-art current limitation might underuse the converter capability in the grid-forming operating mode in specific unbalanced conditions. This paper proposes an extended limitation method for the converter current references for these conditions. It is demonstrated that the proposed method improves the voltage and current profile. In addition, the impact on the internals of the MMC is outlined. Dynamic simulations are conducted to validate the proposed extended limitation for two operation scenarios. The results demonstrate an enhanced utilization of the MMC capability, a better voltage profile, and improved transient behavior of the MMC for the proposed extended limitation compared to the normal limitation during specific unbalanced conditions. © 1986-2012 IEEE.",Current control; HVdc transmission; power system faults; voltage control; wind power generation,Electric circuit breakers; Electric current control; Electric power generation; Electric power transmission; Fault detection; HVDC power transmission; Power converters; Voltage control; Wind power; Current limitation; Fault detection and isolation; Fault ride-through (FRT); HVDC transmission; Modular multilevel converters; Offshore wind power plants; Power system fault; Unbalanced condition; DC power transmission,Article,Final,,Scopus,2-s2.0-85039791786
Poskanzer D.; Meier A.; Kloss M.; Subban C.,"Poskanzer, Deborah (57203132546); Meier, Alan (7103005573); Kloss, Margarita (57201063214); Subban, Chinmayee (36190332600)",57203132546; 7103005573; 57201063214; 36190332600,Dressing for the Anthropocene*: A future history,2019,Eceee Summer Study Proceedings,2019-June,,,3,12,9.0,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085200812&partnerID=40&md5=28f0a653611622bc19d535b538ba467e,"This paper presents analyses based on data from two H2020 projects coordinated by the author. In ECHOES, energy choices of consumers are studied from a multilevel perspective, including particularly the question, how choices framed as group choices (e.g., choices people living in a particular region, city or country) differ from choices framed as individual choices. Results from a representative multinational survey with more than 18,000 respondents conducted in all EU member states plus Switzerland, Turkey, and Norway are presented. In the survey, an online experiment was conducted manipulating if predictors of energy saving behavior were introduced as a choice with a connection to other people in the region, the country, or the European Union. The analyses show that intentions to support the Energy Transition by energy saving behavior are impacted by the degree a person embraces an environmental identity, the feeling of being morally obliged (personal norms), the feeling of individual efficacy, but also social norms and the degree of identification with the people in the respective geographic entity (municipality, country, EU). Citizens of the different countries differ strongly in the degree they identify with their municipality or the EU in relation to their country and the degree of how strong they perceive the social norms and individual efficacy in their municipality or country in relation to the EU. Whereas identification with the EU is usually rather low in most countries, social norms to save energy are experienced to be stronger on the EU level than on the lower levels. Also, efficacy is perceived to be higher on the EU level. These findings are supplemented by preliminary findings from the SMARTEES project, which studies the diffusion of five types of social innovations in energy (inclusive mobility planning, energy autonomous islands, introducing car-free “superblocks” in cities, city quarter revitalization through energy effectivization, fighting fuel poverty through participatory energy efficiency plans). For this paper, first findings of the ongoing social network analyses in the social innovation cases are presented, outlining who key actors in such innovation cases are – again underlining the important function of communication, interaction and decision-making in groups. Two cases were selected (the Danish “Energy Island” Samsø and the Swedish eco-neighbourhood Augustenborg in Malmö). In both cases, it becomes obvious that successful social energy innovations require the collaboration of a complex network of actors sitting at key positions in the social networks. Long term restructuring of local societies requires individuals that have the ability to engage larger fractions of the diverse network of different actors. Across both projects, this paper makes a strong case for studying consumer-driven energy choices towards energy sufficiency and innovation from a social systems perspective, rather than a technological or overly individualistic perspective. © 2019 European Council for an Energy Efficient Economy. All rights reserved.",,Behavioral research; Complex networks; Decision making; Economic and social effects; Energy efficiency; Anthropocene; Energy; Energy  savings; Energy-savings; Individual choice; Innovation case; Multilevels; Social innovations; Social norm; Switzerland; Surveys,Conference paper,Final,,Scopus,2-s2.0-85085200812
Bracco S.; Brignone M.; Delfino F.; Laiolo P.; Procopio R.,"Bracco, Stefano (15049159900); Brignone, Massimo (8580886100); Delfino, Federico (6603766602); Laiolo, Paola (56576462300); Procopio, Renato (7801615894)",15049159900; 8580886100; 6603766602; 56576462300; 7801615894,The University of Genoa Smart City Demo Site,2018,"2018 110th AEIT International Annual Conference, AEIT 2018",,,8577374,,,,2,10.23919/AEIT.2018.8577374,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060314528&doi=10.23919%2fAEIT.2018.8577374&partnerID=40&md5=32c02c118455ec75b76955b4e9fe6802,"The present contribution is devoted to describe in detail the Smart City Sustainable Energy Living Lab (LL) that the University of Genoa has conceived and positioned inside its Savona Campus research and teaching facilities. Such LL relies on the research and demonstration activities related to the use of special infrastructures as the Smart Polygeneration Microgrid (SPM) and Smart Energy Building (SEB), built with the fundamental contribution of the Italian Ministry of Education, University and Research and the Ministry for Environment, Land and Sea Protection. The LL is jointly operated with the Italian DSO Enel S.p.A. as an 'open air' demo site for the testing of on grid/off grid electrical transitions (Sustainable Urban Energy Island) and of potentially new services strictly related to the wide deployment of 'e-city' technological solutions (V2G, V2H, e-home and smart appliances). The present paper is mainly focused on the model developed to study a portion of the SPM in islanded configuration; the main results of the analysis are here reported and discussed in order to highlight stability and load sharing issues. © 2018 AEIT.",Energy Island; Living Lab; Smart City; Sustainability; Sustainable Energy,Energy conservation; Landforms; Smart city; Urban growth; Electrical transition; Energy Island; Living lab; Ministry of Education; Smart appliances; Sustainable energy; Technological solution; University of Genoa; Sustainable development,Conference paper,Final,,Scopus,2-s2.0-85060314528
Yang L.; Sun P.,"Yang, Li (57085414400); Sun, Piman (57677000700)",57085414400; 57677000700,Generalized Building Energy Efficiency and New Energy Utilization,2019,E3S Web of Conferences,118,,1007,,,,1,10.1051/e3sconf/201911801007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073781983&doi=10.1051%2fe3sconf%2f201911801007&partnerID=40&md5=87d0ff8b228a0628bcbd99c720d6542e,"The development of human society is a non-stop gear, and the way we use energy is about the future. How to use resources reasonably and effectively is the pressure we face. The increase in population is the problem of resource allocation - insufficient inventory of traditional energy sources. Economic development is a double-sided blade, and ecological environmental protection is our focus. Research and development of new energy and renewable energy is a way to block dependence on traditional energy sources. It is the inevitable way for human beings to coexist harmoniously with ecology in the future. The development of the construction industry has also brought about a greater proportion of energy consumption. Building heating, ventilation, air conditioning and lighting account for about one-third of the total energy consumption. The carbon dioxide emissions of the construction industry account for more than half of the total emissions, which has a great impact on the environment. The broad definition of building energy conservation is proposed, and the significance of using new energy to building energy conservation is expanded from the perspective of macro environment, including the use of integrated energy, solar energy, and energy islands to achieve zero energy consumption in building energy conservation. The construction has effectively promoted the development of zero energy consumption in terms of the life cycle and environmental protection. © The Authors, published by EDP Sciences, 2019.",,Air conditioning; Buildings; Carbon dioxide; Construction industry; Ecology; Economics; Energy utilization; Environmental protection; Global warming; Historic preservation; Solar energy; Zero energy buildings; Building energy conservation; Building energy efficiency; Carbon dioxide emissions; Economic development; Impact on the environment; Proportion of energy; Research and development; Total energy consumption; Energy efficiency,Conference paper,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85073781983
Jaarsma S.A.,"Jaarsma, S.A. (58311140000)",58311140000,Stakeholder consultation and nature inclusive design of the offshore grid,2019,CIGRE Science and Engineering,2019,15,,41,46,5.0,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161714314&partnerID=40&md5=c4f02ff456d51e910de29974d7eb29b0,"In this paper, TenneT will elaborate on the ideas related to offshore grid eco-design: cooperation with environmental organisations, the value of offshore data gathering, and the re-assessment of the offshore grid concept from a nature inclusive design perspective. For TenneT, since the start of the offshore grid development in 2013, the cooperation with external stakeholders like government, offshore wind sector and environmental organisations was key. Through several consultation sessions suggestions and requirements were gathered and applied during the design and (spatial) planning/licensing phase of the offshore grid concept. At the time (2014-2016), cost reduction was the leading factor. Amongst others, a cooperation with Rijkswaterstaat was initiated, to create the so-called Maritime Information Services Point for offshore data gathering. Services with a societal benefit are coordinated and data will become publicly available, e.g. meteo data and bird & bat monitoring. Since 2013, TenneT has gathered insights from several project specific Environmental Impact Assessments, resulting in requirements for the permits and licenses of the offshore grid projects. Based on the experiences so far, TenneT is now re-assessing the standardised offshore grid concept in terms of opportunities for nature enhancement and further ecological monitoring. Whereas cost reduction is still an important driver, additionally the idea of using the offshore grid infrastructure to realise opportunities to increase nature diversity and to achieve additional societal benefits has evolved. Nature inclusive design measures have been identified for the topside (bird deck), jacket (biocages) and along the cable route and within the safety zone of the platform (hard substrate structures). The expectation is that if such measures are integrated in an early stage, they can be added against very limited cost and risk compared to the project investment. The ultimate objective is to enhance nature inclusive design as an incremental part of the technical design and (spatial) planning/licensing phase of the offshore grid. © 2019, CIGRE. All rights reserved.",Eco-design; Ecological monitoring; Environmental Impact Assessment; Nature enhancement; Nature inclusive design; Offshore grid; Offshore wind; Stakeholder consultation,,Article,Final,,Scopus,2-s2.0-85161714314
Groppi D.; Astiaso Garcia D.; Lo Basso G.; De Santoli L.,"Groppi, D. (57202131447); Astiaso Garcia, D. (57211258655); Lo Basso, G. (55831556900); De Santoli, L. (6602581826)",57202131447; 57211258655; 55831556900; 6602581826,Synergy between smart energy systems simulation tools for greening small Mediterranean islands,2019,Renewable Energy,135,,,515,524,9.0,61,10.1016/j.renene.2018.12.043,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058402572&doi=10.1016%2fj.renene.2018.12.043&partnerID=40&md5=4b3f20bbe3a6a697bda12b4e6c2bd0fe,"Several islands around the world are facing common challenges in terms of high energy costs, local CO2 emissions, security of supply and system stability. In EU, many islands have become sites of energy innovation, where betting on Renewable Energy Sources is a winning choice to meet their energy needs. In this framework, renewable energies play a key role for supporting the transition of small islands to an autonomous, cleaner and low-carbon energy system – in line with the overall EU Energy Union package and EU2030 goals. This study examines the suitability of using hybrid energy system comprising photovoltaic systems, wind turbines, biomass and diesel generators to meet the electricity demand of Favignana Island, to increase the penetration of renewables in the local electricity grid. Additionally, the energy scenarios simulation aimed at identifying foreseeable energy-environmentally improvements associated to the mutual merging of further energy sectors, such as transportation and heating sector. Consequently, the renewable capacity firming issues can be strongly mitigated by integrating new energy demand components. Thus, this work shows in a systemic overview all the outcomes related to the different energy mix layout, with varying the RES share values compatibly with the local grid electrotechnical constraints. Furthermore, this paper studies the impact that the introduction of electric vehicles into the island car fleet will have on the energy system. The smart energy system's components and sizes have been studied both from an energy and an economic point of view by means of two different software (i.e. EnergyPLAN and HOMER). © 2018 Elsevier Ltd",Energy planning; EnergyPLAN simulation; HOMER simulation; Hybrid systems; Renewable energy; Smart energy island,Aegadian Islands; Favignana; Italy; Sicily; Trapani; Fleet operations; Hybrid systems; Photovoltaic cells; System stability; Wind turbines; Energy planning; EnergyPLAN; HOMER simulation; Renewable energies; Smart energies; alternative energy; biomass; diesel; electric vehicle; energy planning; heating; simulation; smart grid; software; transportation; wind turbine; Renewable energy resources,Article,Final,,Scopus,2-s2.0-85058402572
Hou Z.; Du B.; Xu R.; Li J.; Li Z.,"Hou, Zhaohao (57197729767); Du, Boxue (8918332000); Xu, Ranran (57202988153); Li, Jin (55985404100); Li, Zhonglei (56075573800)",57197729767; 8918332000; 57202988153; 55985404100; 56075573800,The Insulating Properties of Polypropylene Blends Modified by ULDPE and Graphene for HVDC Cables,2020,Polymer Insulation Applied for HVDC Transmission,,,,97,126,29.0,1,10.1007/978-981-15-9731-2_5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150151650&doi=10.1007%2f978-981-15-9731-2_5&partnerID=40&md5=fc2585772dd3f74d01bbcad57f117f7e,"HVDC cable transmission plays an important role in urban center power supply, large-scale utilization of distributed energy, island and cross sea power transmission. Thermoplastic polypropylene (PP) material has excellent heat resistance and insulation performance, and can be recycled. However, it is not suitable to apply PP directly to the cable insulation for its low temperature impact and brittleness. In this chapter, polypropylene was blended with vinyl elastomer ULDPE to improve its mechanical toughness. The optimal proportion of PP/ULDPE blends was determined by the melting and crystallization behavior, mechanical tensile properties, trap distribution characteristics, space charge, conductivity and breakdown properties of the blends. Then, PP/ULDPE blends with different amount of nano graphene were prepared. The space charge, electrical conductivity and breakdown strength of PP and its nano graphene modified composites at different temperatures were measured and analyzed. Based on the isothermal discharge current method, the trap distribution characteristics of PP/ULDPE/graphene nanocomposites were obtained to study the relationship between space charge, electrical conductivity, breakdown strength and nano graphenen. © The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2021, corrected publication 2021.",,,Book chapter,Final,,Scopus,2-s2.0-85150151650
Papazu I.,"Papazu, Irina (56703407900)",56703407900,Storifying Samsø’s Renewable Energy Transition,2018,Science as Culture,27,2,,198,220,22.0,7,10.1080/09505431.2017.1398224,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034229855&doi=10.1080%2f09505431.2017.1398224&partnerID=40&md5=27edbeb432e68f7364709b120a4c86ba,"Through a joint community effort Denmark’s Renewable Energy Island Samsø became self-sufficient with renewable energy over a period of 10 years from 1997 to 2007. Today, the story about Samsø’s successful energy transition has become a global export and a widely known model of community building, public participation and shared ownership in renewable energy technologies and transition processes. What has allowed the Samsø narrative to travel so widely has been the effective ‘transition story’ created about the islanders’ efforts. This transition story, however, has become fixed with the years and has assumed an ideal-typical character. Meanwhile, the challenges and costs inherent in the complicated socio-material process of transition are underestimated and largely forgotten. While such transition stories are indeed inspiring, the ideal-typical narrative may stand in the way of the development of further local energy transitions, as challenging elements of the process are downplayed to strengthen the narrative power of the story. Ethnographic stories about Samsø complicate the island’s transition narrative and add nuance to the Samsø story, highlighting its discrepancies and problematizing the effects of such well-crafted transition narratives. This tendency toward the ‘storification’ of transition processes is not restricted to Samsø; it is employed as a tactics by environmental organizations operating globally. © 2017 Process Press.",ethnography; local energy transitions; renewable energy; transition stories,,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85034229855
